store_name,period_month,source_file,source_sheet,metric_key,metric_label,plan,fact,percent,forecast,forecast_percent,deviation,last_year_fact,lfl_deviation
ТРК Центрум,2026-02,ЕО Центрум_02.2026.xlsx,Центрум,avg_sales_per_shift,Средние продажи в смену,66792.00000000001,30162.10714285714,0.4515826317950823,30162.10714285714,0.4515826317950823,-36629.89285714287,,
ТРК Центрум,2026-02,ЕО Центрум_02.2026.xlsx,Центрум,lag_lead,Отставание/Перевыполнение,,-1025637.0000000005,,-1025637.0000000005,,,,
ТРК Центрум,2026-02,ЕО Центрум_02.2026.xlsx,Центрум,traffic,Трафик,1400.0,1338.0,0.9557142857142857,1338.0,0.9557142857142857,-62.0,,
ТРК Центрум,2026-02,ЕО Центрум_02.2026.xlsx,Центрум,conversion,Конверсия,0.1,0.0515695067264574,0.515695067264574,0.515695067264574,0.515695067264574,0.41569506726457406,,
ТРК Центрум,2025-12,ЕО Центрум_декабрь.xlsx,Центрум,revenue,Выручка,6092573.76,3087288.89,0.5067298339938359,3087288.890000001,0.506729833993836,-3005284.8699999987,343307.22,2743981.670000001
ТРК Центрум,2025-12,ЕО Центрум_декабрь.xlsx,Центрум,items_count,Кол-во изделий,743.904,398.0,0.5350152707876286,398.0,0.5350152707876286,-345.904,104.0,294.0
ТРК Центрум,2025-12,ЕО Центрум_декабрь.xlsx,Центрум,avg_check,Средний чек,13759.199999999999,12251.14638888889,0.8903967083034545,12251.14638888889,0.8903967083034545,-1508.0536111111087,4702.838630136986,7548.307758751905
ТРК Центрум,2025-12,ЕО Центрум_декабрь.xlsx,Центрум,avg_item_price,Средняя стоимость изделия,8190.0,7757.007261306533,0.9471315337370614,7757.007261306535,0.9471315337370616,-432.99273869346507,3301.0309615384613,4455.976299768074
ТРК Центрум,2025-12,ЕО Центрум_декабрь.xlsx,Центрум,items_per_check,Длина чека,1.68,1.5793650793650793,0.940098261526833,1.5793650793650793,0.940098261526833,-0.10063492063492063,1.4246575342465753,0.15470754511850404
ТРК Центрум,2025-12,ЕО Центрум_декабрь.xlsx,Центрум,checks_count,Кол-во чеков,442.8,252.0,0.5691056910569106,252.00000000000014,0.5691056910569109,-190.79999999999987,73.0,179.00000000000014
ТРК Центрум,2025-12,ЕО Центрум_декабрь.xlsx,Центрум,shifts_count,Кол-во смен,31.0,31.0,1.0,2859.3000000000015,,2828.3000000000015,31.0,2828.3000000000015
ТРК Центрум,2025-12,ЕО Центрум_декабрь.xlsx,Центрум,avg_sales_per_shift,Средние продажи в смену,196534.63741935484,99589.9641935484,0.5067298339938359,99589.9641935484,0.5067298339938359,-96944.67322580644,11074.426451612902,88515.53774193549
ТРК Центрум,2025-12,ЕО Центрум_декабрь.xlsx,Центрум,lag_lead,Отставание/Перевыполнение,,-3005284.8699999996,,-3005284.8699999996,,,-182714.4696000002,-2822570.4003999997
ТРК Центрум,2025-12,ЕО Центрум_декабрь.xlsx,Центрум,traffic,Трафик,3600.0,2859.3,0.79425,2859.3,0.79425,-740.6999999999998,381.0,2478.3
ТРК Центрум,2025-12,ЕО Центрум_декабрь.xlsx,Центрум,conversion,Конверсия,0.123,0.08813345923827509,0.7165321889290658,0.7165321889290658,0.7165321889290658,0.5935321889290658,0.19160104986876642,0.5249311390602993
