store_name,period_month,source_file,metric_key,metric_label,plan,fact,percent,forecast,forecast_percent,deviation,last_year_fact,lfl_deviation
"Ялта, Набережная 18",2025-05,ЕО Ялта Ленина 18_05.2025.xlsx,items_count,Кол-во изделий,921.8879999999999,493.0,0.5347721198236662,493.0,0.5347721198236662,-428.8879999999999,,
"Ялта, Набережная 18",2025-05,ЕО Ялта Ленина 18_05.2025.xlsx,avg_check,Средний чек,10088.0,10160.700729927008,1.0072066544336844,10160.700729927008,1.0072066544336844,72.70072992700807,0.0,
"Ялта, Набережная 18",2025-05,ЕО Ялта Ленина 18_05.2025.xlsx,avg_item_price,Средняя стоимость изделия,5200.0,5647.123732251522,1.0859853331252927,5647.123732251523,1.0859853331252929,447.1237322515226,,
"Ялта, Набережная 18",2025-05,ЕО Ялта Ленина 18_05.2025.xlsx,items_per_check,Длина чека,1.94,1.7992700729927007,0.9274588005117014,1.7992700729927007,0.9274588005117014,-0.14072992700729925,,
"Ялта, Набережная 18",2025-05,ЕО Ялта Ленина 18_05.2025.xlsx,checks_count,Кол-во чеков,475.2,274.0,0.5765993265993267,274.0000000000001,0.5765993265993269,-201.19999999999987,,
"Ялта, Набережная 18",2025-05,ЕО Ялта Ленина 18_05.2025.xlsx,shifts_count,Кол-во смен,31.0,31.0,1.0,31.0,1.0,0.0,,
"Ялта, Набережная 18",2025-05,ЕО Ялта Ленина 18_05.2025.xlsx,avg_sales_per_shift,Средние продажи в смену,154639.27741935482,89807.48387096774,0.580754678692823,89807.48387096774,0.580754678692823,-64831.79354838708,,
"Ялта, Набережная 18",2025-05,ЕО Ялта Ленина 18_05.2025.xlsx,lag_lead,Отставание/Перевыполнение,,-2009785.5999999996,,-2009785.5999999996,,,,
"Ялта, Набережная 18",2025-05,ЕО Ялта Ленина 18_05.2025.xlsx,traffic,Трафик,2160.0,1195.0,0.5532407407407407,1195.0,0.5532407407407407,-965.0,,
"Ялта, Набережная 18",2025-05,ЕО Ялта Ленина 18_05.2025.xlsx,conversion,Конверсия план/факт,0.22,0.2292887029288703,1.0422213769494104,0.22539445768492916,1.0245202622042235,0.00539445768492916,,
"Ялта, Набережная 18",2025-06,ЕО Ялта Ленина 18_06.2025.xlsx,revenue,Выручка,4307558.4,2475583.0,0.5747067758849189,2587677.357939017,0.6007294893411118,-1719881.0420609834,,
"Ялта, Набережная 18",2025-06,ЕО Ялта Ленина 18_06.2025.xlsx,items_count,Кол-во изделий,747.84,464.0,0.6204535729567822,485.0099124463626,0.6485477006396589,-262.83008755363744,,
"Ялта, Набережная 18",2025-06,ЕО Ялта Ленина 18_06.2025.xlsx,avg_check,Средний чек,10944.0,9168.825925925927,0.8377947666233485,9168.825925925927,0.8377947666233485,-1775.1740740740734,0.0,
"Ялта, Набережная 18",2025-06,ЕО Ялта Ленина 18_06.2025.xlsx,avg_item_price,Средняя стоимость изделия,5760.0,5335.308189655172,0.9262687829262451,5335.308189655174,0.9262687829262455,-424.6918103448261,,
"Ялта, Набережная 18",2025-06,ЕО Ялта Ленина 18_06.2025.xlsx,items_per_check,Длина чека,1.9,1.7185185185185186,0.9044834307992203,1.7185185185185186,0.9044834307992203,-0.18148148148148135,,
"Ялта, Набережная 18",2025-06,ЕО Ялта Ленина 18_06.2025.xlsx,checks_count,Кол-во чеков,393.6,270.0,0.6859756097560975,282.22559560456466,0.717036574198589,-111.37440439543536,,
"Ялта, Набережная 18",2025-06,ЕО Ялта Ленина 18_06.2025.xlsx,shifts_count,Кол-во смен,30.0,30.0,1.0,30.0,1.0,0.0,,
"Ялта, Набережная 18",2025-06,ЕО Ялта Ленина 18_06.2025.xlsx,avg_sales_per_shift,Средние продажи в смену,143585.28,82519.43333333333,0.5747067758849189,82519.43333333333,0.5747067758849189,-61065.846666666665,,
"Ялта, Набережная 18",2025-06,ЕО Ялта Ленина 18_06.2025.xlsx,lag_lead,Отставание/Перевыполнение,,-1831975.4000000004,,-1831975.4000000004,,,,
"Ялта, Набережная 18",2025-06,ЕО Ялта Ленина 18_06.2025.xlsx,traffic,Трафик,1600.0,1342.0,0.83875,1342.0,0.83875,-258.0,,
"Ялта, Набережная 18",2025-06,ЕО Ялта Ленина 18_06.2025.xlsx,conversion,Конверсия план/факт,0.246,0.20119225037257824,0.8178546763112936,0.22024868267696576,0.8953198482803486,-0.025751317323034234,,
"Ялта, Набережная 18",2025-07,ЕО Ялта Ленина 18_07.2025.xlsx,revenue,Выручка,4080000.0,3169651.6,0.7768753921568627,3169651.6000000006,0.7768753921568629,-910348.3999999994,,
"Ялта, Набережная 18",2025-07,ЕО Ялта Ленина 18_07.2025.xlsx,items_count,Кол-во изделий,680.0,559.0,0.8220588235294117,559.0000000000001,0.822058823529412,-120.99999999999989,,
"Ялта, Набережная 18",2025-07,ЕО Ялта Ленина 18_07.2025.xlsx,avg_check,Средний чек,10200.0,9693.124159021407,0.9503062901001379,9693.124159021407,0.9503062901001379,-506.87584097859326,0.0,
"Ялта, Набережная 18",2025-07,ЕО Ялта Ленина 18_07.2025.xlsx,avg_item_price,Средняя стоимость изделия,6000.0,5670.217531305903,0.9450362552176506,5670.217531305903,0.9450362552176506,-329.7824686940967,,
"Ялта, Набережная 18",2025-07,ЕО Ялта Ленина 18_07.2025.xlsx,items_per_check,Длина чека,1.7,1.709480122324159,1.005576542543623,1.709480122324159,1.005576542543623,0.009480122324158957,,
"Ялта, Набережная 18",2025-07,ЕО Ялта Ленина 18_07.2025.xlsx,checks_count,Кол-во чеков,400.0,327.0,0.8175,327.0,0.8175,-73.0,,
"Ялта, Набережная 18",2025-07,ЕО Ялта Ленина 18_07.2025.xlsx,shifts_count,Кол-во смен,31.0,31.0,1.0,31.0,1.0,0.0,,
"Ялта, Набережная 18",2025-07,ЕО Ялта Ленина 18_07.2025.xlsx,avg_sales_per_shift,Средние продажи в смену,131612.90322580645,102246.82580645161,0.7768753921568627,102246.82580645161,0.7768753921568627,-29366.077419354842,,
"Ялта, Набережная 18",2025-07,ЕО Ялта Ленина 18_07.2025.xlsx,lag_lead,Отставание/Перевыполнение,,-910348.3999999999,,-910348.3999999999,,,,
"Ялта, Набережная 18",2025-07,ЕО Ялта Ленина 18_07.2025.xlsx,traffic,Трафик,1600.0,1890.0,1.18125,1890.0,1.18125,290.0,,
"Ялта, Набережная 18",2025-07,ЕО Ялта Ленина 18_07.2025.xlsx,conversion,Конверсия план/факт,0.25,0.173015873015873,0.692063492063492,0.19019292615935263,0.7607717046374105,-0.05980707384064737,,
"Ялта, Набережная 18",2025-08,ЕО Ялта Ленина 18_08.2025.xlsx,revenue,Выручка,4700160.0,3881454.0,0.8258131638071895,3881454.0000000023,0.82581316380719,-818705.9999999977,,
"Ялта, Набережная 18",2025-08,ЕО Ялта Ленина 18_08.2025.xlsx,items_count,Кол-во изделий,783.36,672.0,0.8578431372549019,672.0000000000003,0.8578431372549024,-111.35999999999967,,
"Ялта, Набережная 18",2025-08,ЕО Ялта Ленина 18_08.2025.xlsx,avg_check,Средний чек,10200.0,10323.015957446809,1.0120603879849812,10323.015957446809,1.0120603879849812,123.0159574468089,0.0,
"Ялта, Набережная 18",2025-08,ЕО Ялта Ленина 18_08.2025.xlsx,avg_item_price,Средняя стоимость изделия,6000.0,5775.973214285715,0.9626622023809525,5775.973214285715,0.9626622023809525,-224.02678571428532,,
"Ялта, Набережная 18",2025-08,ЕО Ялта Ленина 18_08.2025.xlsx,items_per_check,Длина чека,1.7,1.7872340425531914,1.0513141426783479,1.7872340425531914,1.0513141426783479,0.08723404255319145,,
"Ялта, Набережная 18",2025-08,ЕО Ялта Ленина 18_08.2025.xlsx,checks_count,Кол-во чеков,460.79999999999995,376.0,0.8159722222222223,375.99999999999994,0.8159722222222222,-84.80000000000001,,
"Ялта, Набережная 18",2025-08,ЕО Ялта Ленина 18_08.2025.xlsx,shifts_count,Кол-во смен,31.0,31.0,1.0,31.0,1.0,0.0,,
"Ялта, Набережная 18",2025-08,ЕО Ялта Ленина 18_08.2025.xlsx,avg_sales_per_shift,Средние продажи в смену,151618.06451612903,125208.19354838709,0.8258131638071895,125208.19354838709,0.8258131638071895,-26409.87096774194,,
"Ялта, Набережная 18",2025-08,ЕО Ялта Ленина 18_08.2025.xlsx,lag_lead,Отставание/Перевыполнение,,-818706.0,,-818706.0,,,,
